Battery_ID,Voltage_V,Current_A,Temperature_C,Charge_Cycles,State_of_Health_%,RUL_Cycles
BAT-007,3.31,0.6,33.8,409,90.12,795.0
BAT-004,3.87,0.58,47.6,868,76.84,543.0
BAT-008,3.71,1.99,25.3,79,98.86,987.0
BAT-005,3.12,1.82,26.4,157,95.47,904.0
BAT-007,4.1,2.1,20.4,893,78.79,587.0
BAT-010,3.95,0.71,20.4,766,78.9,579.0
BAT-003,3.03,0.57,44.9,940,75.64,518.0
BAT-007,3.78,1.52,42.0,1009,73.01,447.0
BAT-008,3.93,1.28,30.7,942,76.01,523.0
BAT-005,3.45,1.42,40.9,781,77.93,552.0
BAT-004,3.08,2.48,31.9,655,81.13,627.0
BAT-008,3.09,2.44,48.6,506,85.1,717.0
BAT-008,3.13,2.38,49.0,664,81.55,634.0
BAT-003,4.01,2.07,31.8,747,81.35,618.0
BAT-006,4.09,1.21,45.6,723,80.46,615.0
BAT-005,3.15,1.32,43.2,592,83.75,679.0
BAT-002,3.28,1.6,29.3,906,76.0,541.0
BAT-008,3.2,2.16,27.0,946,76.92,541.0
BAT-006,3.22,0.64,33.7,327,89.91,792.0
BAT-002,4.0,1.35,43.4,601,84.24,692.0
BAT-005,3.4,0.67,48.8,160,93.54,869.0
BAT-001,3.37,1.53,42.9,434,87.31,747.0
BAT-010,3.27,2.3,45.7,810,78.55,562.0
BAT-006,3.73,2.06,38.1,743,81.12,621.0
BAT-009,3.46,0.96,45.1,454,87.41,749.0
BAT-001,3.89,2.45,43.5,71,95.55,910.0
BAT-010,3.25,1.83,31.3,727,81.96,633.0
BAT-003,3.95,0.52,36.6,660,81.53,633.0
BAT-007,3.72,1.01,44.1,57,97.45,940.0
BAT-004,3.14,1.02,21.4,751,79.8,584.0
BAT-009,3.5,0.64,44.2,578,83.53,678.0
BAT-003,4.04,2.42,25.3,651,82.87,664.0
BAT-005,4.11,1.46,35.4,706,82.18,630.0
BAT-003,3.56,2.29,44.2,215,93.82,858.0
BAT-007,3.58,1.14,27.6,898,77.49,540.0
BAT-005,4.1,0.75,27.4,545,86.3,725.0
BAT-009,3.7,1.45,32.1,639,84.02,692.0
BAT-007,3.04,0.73,46.8,478,86.99,738.0
BAT-002,4.1,1.47,20.0,823,79.46,582.0
BAT-004,3.3,2.34,47.0,212,92.0,841.0
